ID;GameCoords;GameFalloffStart;GameFalloffEnd;ContinentID;LightParamsID
1;0,0,0;0;0;0;12,13,10,13,3,0,0,0
2;-10666.671875,64,0;399.4743347167969;466.978271484375;0;14,15,14,15,3,0,0,0
3;-10358.361328125,-2789.171875,0;289.6095886230469;366.2476501464844;0;16,15,496,15,3,0,0,0
4;-10463.67578125,1573.3333740234375,0.00005918545139138587;215.3734130859375;292.2674560546875;0;17,18,6085,6086,3,0,0,0
5;-10426.671875,-1973.333984375,-4.916666507720947;310.1944580078125;454.5;0;19,6091,19,6091,3,0,0,0
6;-11299.861328125,-3073.47216796875,0;261.3330078125;334.9126281738281;0;21,22,21,22,3,0,0,0
7;-7862.171875,-1074.03125,0;293.2505187988281;398.6748046875;0;23,24,23,24,3,0,0,0
9;-13333.3330078125,0,0;334.1651306152344;433.5462646484375;0;26,6090,6085,6086,3,0,0,0
12;-1552.484375,-3046.861328125,233.6212615966797;35.32273483276367;60.03237533569336;0;30,31,30,31,3,0,0,0
13;-106,-733.78125,464.9333190917969;24.894777297973633;24.894777297973633;0;6046,33,6050,6051,3,0,0,0
16;-5161.328125,-1442.015625,435.7748107910156;999.3113403320312;1214.2452392578125;0;5974,35,6087,35,3,0,0,0
19;-12041.5,-2450.28125,0;450.487060546875;529.3611450195312;0;6052,845,6052,845,3,0,0,0
21;-6730.671875,-3733.333984375,322.7305603027344;29.308053970336914;30.906946182250977;0;28,18,6089,6089,3,0,0,0
26;-5354.671875,-3413.333984375,431.5666809082031;20.678998947143555;20.678998947143555;0;38,6088,6085,6086,3,0,0,0
27;2174.041748046875,42.66666793823242,593.1424560546875;116.94178771972656;150.25584411621094;0;6060,6062,6061,6063,3,0,0,0
28;277.328125,1378.0546875,380.49444580078125;14.925750732421875;14.925750732421875;0;6064,6073,6072,6074,3,0,0,0
31;1779.103515625,-1740.59375,344.25445556640625;13.930597305297852;13.930597305297852;0;46,6067,46,6067,3,0,0,0
36;89.73784637451172,-3283.65966796875,441.8907775878906;102.11952209472656;153.05677795410156;0;6054,6055,6056,6057,3,0,0,0
39;-14352.97265625,487.609375,0;152.38888549804688;228.5833282470703;0;26,27,409,27,3,0,0,0
40;-10324.806640625,370.416015625,46.1944465637207;35.52777862548828;76.19444274902344;0;54,27,494,27,3,0,0,0
41;-10452,-445.22265625,0;130.61111450195312;250.3333282470703;0;55,27,469,27,3,0,0,0
42;1988.642333984375,-3902.814208984375,616.178466796875;79.39354705810547;141.01751708984375;0;6068,6070,6069,6071,3,0,0,0
44;572.416015625,-487.611328125,0;261.22222900390625;478.9166564941406;0;427,6048,422,6048,3,0,0,0
45;-2066.75,-1250.861328125,0;119.72222137451172;674.8333129882812;0;30,45,10,45,3,0,0,0
51;-8480.361328125,548.27734375,80.91666412353516;65.6388931274414;84.52777862548828;0;62,24,10,24,3,0,0,0
52;-8405.53125,620.888671875,70.91666412353516;62.63888931274414;89.6388931274414;0;62,24,10,24,3,0,0,0
54;-13333.333984375,13866.6640625,0;2516.25;2647.52783203125;0;12,63,10,63,3,0,0,0
56;-1329.72265625,555.27734375,167.36111450195312;87.52777862548828;142.22222900390625;0;65,33,6050,6051,3,0,0,0
57;-11953.056640625,-1598,0;306.3333435058594;601.7222290039062;0;67,66,10,66,3,0,0,0
58;-3345.140625,-2705.944580078125,138.0486602783203;34.85431671142578;57.4488410949707;0;29,958,29,958,3,0,0,0
59;-13884.279296875,12311.5810546875,-202.36111450195312;164.11111450195312;231.69444274902344;0;68,27,10,27,3,0,0,0
60;-13913.279296875,12541.638671875,-234.36111450195312;149.80555725097656;231.80555725097656;0;69,13,10,13,3,0,0,0
61;-4.3125,-1565,176.13888549804688;104.75;154.2777862548828;0;70,71,10,71,3,0,0,0
70;-15733.333984375,-15733.333984375,0;645.4722290039062;940.8611450195312;0;75,15,10,15,3,0,0,0
72;-6779.22216796875,-1643.611083984375,210.13888549804688;181.44970703125;243.77938842773438;0;77,78,77,78,3,0,0,0
82;0,0,0;0;0;509;394,391,8,11,3,0,0,0
83;0,0,0;0;0;469;85,86,10,11,3,0,0,0
84;0,0,0;0;0;269;87,88,10,11,3,0,0,0
85;-1866.671875,7095.13671875,0;533.3333129882812;800;269;89,90,89,90,3,0,0,0
86;2237.1923828125,786.3603515625,-44.6944465637207;439.72222900390625;1465.9722900390625;269;91,92,91,92,3,0,0,0
87;3174.6923828125,447.4375,0;404.77777099609375;459.5;269;93,94,10,11,3,0,0,0
88;2973.8583984375,1146.8603515625,32.30555725097656;367.72222900390625;415.72222900390625;269;93,94,10,11,3,0,0,0
89;2788.77734375,1637.6103515625,0;334.1944580078125;384.8333435058594;269;93,94,10,11,3,0,0,0
90;2399.9990234375,2109.9716796875,0;317.9166564941406;382.9166564941406;269;93,94,10,11,3,0,0,0
91;1779.4423828125,1939.916015625,0;307.1944580078125;374.0833435058594;269;93,94,10,11,3,0,0,0
92;1261.0830078125,1190.8603515625,0;536.0555419921875;601.7222290039062;269;93,94,10,11,3,0,0,0
93;1145.8603515625,183.75,0;492.3055725097656;557.9444580078125;269;93,94,10,11,3,0,0,0
94;1725.8330078125,-281.361328125,0;373.9166564941406;437.6111145019531;269;93,94,10,11,3,0,0,0
95;2492.88671875,-362.22265625,0;415.72222900390625;481.3611145019531;269;93,94,10,11,3,0,0,0
96;2791.1640625,21.3046875,0;393.8333435058594;470.4166564941406;269;93,95,10,11,3,0,0,0
97;0,0,0;0;0;36;96,97,10,11,3,0,0,0
98;-9786.669921875,1573.3330078125,0;640;800;36;98,99,10,11,3,0,0,0
99;-245.333984375,-533.333984375,0;1408;1792;36;100,101,10,11,3,0,0,0
179;0,0,0;0;0;429;175,176,10,11,3,0,0,0
180;-10177.919921875,-804.361328125,0;187.9166717529297;213.9166717529297;429;177,178,10,11,3,0,0,0
181;17844.138671875,17667.580078125,0;281.97222900390625;371.97222900390625;429;179,180,10,11,3,0,0,0
182;17452.189453125,17316.8046875,0;175.05555725097656;175.05555725097656;429;181,176,10,11,3,0,0,0
183;17455.888671875,17059.638671875,0;137.22222900390625;180.97222900390625;429;181,176,10,11,3,0,0,0
184;17081.638671875,17422.189453125,0;197.86111450195312;233.75;429;182,183,10,11,3,0,0,0
185;17030.861328125,17864.138671875,0;203.97222900390625;214.86111450195312;429;184,183,10,11,3,0,0,0
186;17367.8046875,16611.720703125,-52.6944465637207;171.97222900390625;187.22222900390625;429;185,186,10,11,3,0,0,0
187;3132.0830078125,106.52734375,0;722.0555419921875;1104.9444580078125;169;187,188,10,11,3,0,0,0
188;-2365.05859375,-1853.6953125,-106.52777862548828;886.1666870117188;1148.7222900390625;169;189,188,10,11,3,0,0,0
189;1333.3330078125,1866.666015625,0;1531.611083984375;2002.0555419921875;169;190,188,10,11,3,0,0,0
190;-3733.333984375,3199.998046875,0;1137.77783203125;1433.1666259765625;169;191,188,10,11,3,0,0,0
191;0,0,0;0;0;1;192,193,10,193,3,0,0,0
193;121.52734375,-2406.0625,0;16.124305725097656;16.124305725097656;1;5944,5961,5965,5966,3,0,0,0
194;-1809.974609375,1069.7080078125,24.30555534362793;460.4476013183594;813.2194213867188;1;5982,5983,5982,5983,3,0,0,0
195;-8191.09716796875,-3379.916748046875,207.03720092773438;39.575042724609375;71.0161361694336;1;6015,6016,420,6016,3,0,0,0
196;7834.4423828125,-2646.1953125,744.9722290039062;54.38166809082031;56.184444427490234;1;5946,5954,5946,5954,3,0,0,0
198;-3626.671875,-3813.333984375,317.2750244140625;40.581111907958984;53.09749984741211;1;5973,5975,5977,5979,3,0,0,0
200;10128.3232421875,1511.7135009765625,1823.218505859375;129.7566375732422;253.72732543945312;1;6023,6025,6024,6025,3,0,0,0
202;-2730.671875,-618.671875,330.2861022949219;20.893693923950195;20.893693923950195;1;5967,5968,5969,5969,3,0,0,0
204;1163.712890625,-4858.494140625,297.3106994628906;23.10849380493164;25.878381729125977;1;5985,5987,5988,5989,3,0,0,0
206;-2066.75,-2237.1953125,387.16943359375;19.900028228759766;19.900028228759766;1;5944,5961,5965,215,3,0,0,0
207;-3237.880126953125,-1993.765625,87.9523696899414;149.5387420654297;262.4429626464844;1;881,195,881,195,3,0,0,0
208;2279.8046875,-1450.5625,109.83236694335938;15.135090827941895;15.135090827941895;1;5951,5958,5951,5958,3,0,0,0
214;5188.3349609375,-628.0555419921875,591.3401489257812;143.38360595703125;284.3926696777344;1;5950,1029,5950,1029,3,0,0,0
217;-4708.78125,106.52734375,779.013916015625;28.049999237060547;30.745832443237305;1;5991,5994,5995,5994,3,0,0,0
218;1751.4423828125,-3265.6953125,21.30555534362793;229.80555725097656;361.1388854980469;1;222,223,222,223,3,0,0,0
220;-3046.861083984375,-1171.4722900390625,-72.2574691772461;240.69444274902344;361.02777099609375;1;226,980,450,980,3,0,0,0
221;1044.02734375,-3132.083984375,0;142.22222900390625;252.75;1;227,5963,5965,5963,3,0,0,0
223;318.609375,-2194.583984375,216.36111450195312;131.2777862548828;230.55555725097656;1;229,219,5965,219,3,0,0,0
225;1283.3629150390625,-25.23958396911621,-12.953062057495117;264.0750732421875;392.17669677734375;1;232,5971,5965,5966,3,0,0,0
226;750.8798828125,1799.3330078125,-17.61983871459961;169.3745880126953;295.7318420410156;1;232,5971,5965,5966,3,0,0,0
227;1638.611083984375,916.5833129882812,296.95233154296875;83.56671905517578;137.67860412597656;1;5970,5972,5965,5966,3,0,0,0
230;-6200.25,-3899.140625,0;415.72222900390625;886.1666870117188;1;5999,6006,6005,6007,3,0,0,0
232;4859.2216796875,-526.28125,309;103.3888931274414;146.05555725097656;1;241,242,241,242,3,0,0,0
233;4818.99609375,-404.833984375,387.6111145019531;81.6388931274414;131.2777862548828;1;243,203,243,203,3,0,0,0
235;1555.38671875,-2906.421875,191.75;159.1666717529297;180.05555725097656;1;222,223,222,223,3,0,0,0
239;1903.6923828125,-4325.25,278.5030212402344;13.671870231628418;15.241435050964355;1;6033,6036,6035,6037,3,0,0,0
240;-4710.05908203125,2810.59716796875,237.03277587890625;165.53924560546875;487.18218994140625;1;5993,5998,5995,5998,3,0,0,0
241;-3217.3125,2194.583251953125,390.7546081542969;56.67249298095703;118.29193878173828;1;249,219,5995,5994,3,0,0,0
247;3525.54296875,-6113.583984375,443.3966369628906;17.20450782775879;17.20450782775879;1;5952,5959,5969,5969,3,0,0,0
248;-7342.421875,-1321.7222900390625,-63.91666793823242;75.40335083007812;227.1964111328125;1;6009,6011,6010,6012,3,0,0,0
249;-7222.97265625,1233.27734375,0;25.927139282226562;34.85444641113281;1;6017,6017,6018,6018,3,0,0,0
253;-3780.22265625,-4426,26.701833724975586;267.3938903808594;384.34722900390625;1;5980,5981,5977,5979,3,0,0,0
259;6998.3330078125,-4154.806640625,1070.8277587890625;36.510555267333984;38.4333381652832;1;5945,5953,424,5953,3,0,0,0
270;4661.42041015625,-4422.89599609375,678.154052734375;368.4593811035156;468.5;1;876,952,876,952,3,0,0,0
271;16256.998046875,16299.638671875,-404.8333435058594;623.5833129882812;864.2777709960938;1;270,213,10,11,3,0,0,0
272;4223.1611328125,-3947.578125,970.5382080078125;256.3229675292969;360.1388854980469;1;876,952,876,952,3,0,0,0
273;29.3046875,-1938.921875,63.91666793823242;119.47222137451172;185.97222900390625;1;272,5962,5965,5966,3,0,0,0
274;-1268.607666015625,-2995.251708984375,58.08934783935547;120.33334350585938;240.69444274902344;1;272,5962,5965,5966,3,0,0,0
275;-1050.640625,-2106.75,73.91666412353516;118.3888931274414;223.86111450195312;1;272,5962,5965,5966,3,0,0,0
276;-4495.72265625,-2109.361328125,21.30555534362793;175.05555725097656;240.69444274902344;1;273,5961,5965,5966,3,0,0,0
277;-4726.390625,-2480.28125,57.30555725097656;175.05555725097656;256.5555725097656;1;275,5961,5965,5966,3,0,0,0
281;-4708.78125,-2224.97265625,71.91666412353516;46.6944465637207;76.52777862548828;1;275,5961,5965,5966,3,0,0,0
