ID;Pos;PointOrder;ZoneLightID
300;4215.87451171875,3269.265380859375;1;60
301;4271.28564453125,4197.40380859375;2;60
302;4363.6376953125,4262.05029296875;3;60
303;4585.28271484375,4264.359375;4;60
304;4562.19482421875,4617.60595703125;5;60
305;4522.94482421875,4633.76708984375;6;60
306;4520.63623046875,4675.32568359375;7;60
307;4562.19482421875,4709.9580078125;8;60
308;4566.8125,4936.220703125;9;60
309;4622.2236328125,4940.837890625;10;60
310;4631.45849609375,5499.56787109375;11;60
311;4728.42822265625,5679.65478515625;12;60
312;4728.42822265625,5956.7109375;13;60
313;4682.25244140625,6012.12255859375;14;60
314;4673.01708984375,6487.7353515625;15;60
315;6081.38623046875,8990.4775390625;16;60
316;3043.003173828125,9590.765625;17;60
317;826.552978515625,8247.0439453125;18;60
318;133.9120330810547,5448.7744140625;19;60
319;957.1393432617188,3272.84228515625;20;60
320;2381.531982421875,3242.555908203125;21;60
321;3117.280517578125,3195.24365234375;22;60
322;3292.06494140625,3263.7822265625;23;60
323;3610.390625,3122.079345703125;24;60
324;3746.032958984375,3111.112548828125;25;60
325;3812.38720703125,3198.468017578125;26;60
326;4098.68603515625,3195.523681640625;27;60
327;4834.63330078125,-960.4599609375;1;61
328;4848.48583984375,-434.0530090332031;2;61
329;5019.33740234375,-219.33468627929688;3;61
330;5190.18896484375,78.5009536743164;4;61
331;5208.6591796875,459.4532470703125;5;61
332;5074.74853515625,540.26123046875;6;61
333;5074.74853515625,761.90625;7;61
334;5146.3212890625,932.7575073242188;8;61
335;5365.65771484375,1080.521240234375;9;61
336;5356.42236328125,1165.9468994140625;10;61
337;5240.98291015625,1239.8284912109375;11;61
338;5139.39501953125,1477.634765625;12;61
339;5044.734375,1500.72314453125;13;61
340;4929.2939453125,1634.633544921875;14;61
341;4832.32421875,1650.7950439453125;15;61
342;4832.32470703125,1789.3233642578125;16;61
343;4608.37060546875,1796.249755859375;17;61
344;4548.34228515625,1731.6031494140625;18;61
345;4271.28564453125,1731.6031494140625;19;61
346;4206.63916015625,1791.632080078125;20;61
347;4174.31591796875,2036.364990234375;21;61
348;4229.72705078125,2045.6002197265625;22;61
349;4262.05029296875,2156.422607421875;23;61
350;4262.05029296875,2299.568359375;24;61
351;4105.0517578125,2451.949462890625;25;61
352;4100.43408203125,2590.477783203125;26;61
353;4042.714111328125,2606.639404296875;27;61
354;4049.640625,2897.54833984375;28;61
355;4068.111083984375,3089.178955078125;29;61
356;4091.19873046875,3200.001220703125;30;61
357;3812.98828125,3198.846923828125;31;61
358;3745.456298828125,3108.226318359375;32;61
359;3606.350830078125,3119.193359375;33;61
360;3414.142578125,3210.968017578125;34;61
361;3293.508056640625,3261.184326171875;35;61
362;3117.461669921875,3195.9609375;36;61
363;2406.95703125,3244.360595703125;37;61
364;940.5112915039062,3269.129638671875;38;61
365;476.2946472167969,-986.3325805664062;39;61
366;1716.3648681640625,-1584.8604736328125;40;61
367;2872.151611328125,-1602.306884765625;41;61
368;3225.714599609375,-1619.9852294921875;42;61
369;3372.725830078125,-1660.4232177734375;43;61
370;3923.204833984375,-1606.8284912109375;44;61
371;4049.640625,-1505.337158203125;45;61
372;4192.7861328125,-1505.337158203125;46;61
373;4345.16748046875,-1597.689208984375;47;61
374;4421.75341796875,-1574.929443359375;48;61
375;4548.10986328125,-1724.741455078125;49;61
376;4678.064453125,-1847.43603515625;50;61
377;4702.66943359375,-1648.879150390625;51;61
378;4771.14111328125,-1614.8695068359375;52;61
379;4685.921875,-1470.3026123046875;53;61
380;4656.9462890625,-1371.274169921875;54;61
381;4735.49560546875,-1338.37890625;55;61
382;4861.45068359375,-1446.1966552734375;56;61
383;5033.1904296875,-1389.897216796875;57;61
384;5037.80810546875,-1098.98828125;58;61
385;5527.27392578125,-4825.39453125;1;62
386;5531.8916015625,-4636.07275390625;2;62
387;5458.009765625,-4580.66162109375;3;62
388;5236.36474609375,-4571.4267578125;4;62
389;5144.0126953125,-4432.8984375;5;62
390;5139.955078125,-4276.22802734375;6;62
391;5021.81005859375,-4171.1435546875;7;62
392;4992.423828125,-3826.736083984375;8;62
393;4937.7255859375,-3748.717041015625;9;62
394;4839.77099609375,-3736.31298828125;10;62
395;4522.06884765625,-3219.49267578125;11;62
396;4460.03076171875,-3191.55517578125;12;62
397;4444.361328125,-2930.112060546875;13;62
398;4435.91845703125,-2718.302001953125;14;62
399;4468.4736328125,-2511.57421875;15;62
400;4543.01171875,-2484.445068359375;16;62
401;4575.06298828125,-2381.041015625;17;62
402;4664.9296875,-2372.859130859375;18;62
403;4674.60205078125,-1843.2144775390625;19;62
404;4551.375,-1732.6241455078125;20;62
405;4421.75341796875,-1567.046875;21;62
406;4345.16748046875,-1597.689208984375;22;62
407;4192.7861328125,-1500.7196044921875;23;62
408;4045.02294921875,-1505.337158203125;24;62
409;3919.939697265625,-1600.2982177734375;25;62
410;3367.547607421875,-1663.6884765625;26;62
411;3229.5400390625,-1623.250244140625;27;62
412;1697.3511962890625,-1584.9964599609375;28;62
413;1701.7198486328125,-1585.50048828125;29;62
414;2599.712890625,-2548.915771484375;30;62
415;2710.53515625,-2950.647705078125;31;62
416;2899.857177734375,-2973.7353515625;32;62
417;2996.82666015625,-3010.676513671875;33;62
418;3003.753173828125,-3123.807373046875;34;62
419;3202.310302734375,-3165.366455078125;35;62
420;3273.883056640625,-3272.725830078125;36;62
421;3428.57275390625,-3383.547607421875;37;62
422;3580.067626953125,-3449.0947265625;38;62
423;3684.052978515625,-3584.14404296875;39;62
424;3640.274658203125,-3711.11279296875;40;62
425;3660.077392578125,-3963.89404296875;41;62
426;3656.791748046875,-4157.80224609375;42;62
427;3605.021240234375,-4281.29150390625;43;62
428;3519.7734375,-4377.07470703125;44;62
429;3500.326416015625,-4520.1884765625;45;62
430;3551.298095703125,-4688.69970703125;46;62
431;3654.217529296875,-4804.1083984375;47;62
432;3704.12451171875,-5003.5654296875;48;62
433;3762.11279296875,-5121.06103515625;49;62
434;3677.19140625,-5387.97265625;50;62
435;3561.618896484375,-5672.42578125;51;62
436;3085.28369140625,-6049.59326171875;52;62
437;3086.706298828125,-7032.8896484375;53;62
438;5914.52978515625,-6072.7578125;54;62
439;3082.776611328125,-6049.6201171875;1;63
440;2701.50244140625,-6230.07861328125;2;63
441;2427.287109375,-6135.244140625;3;63
442;2288.286865234375,-5775.74755859375;4;63
443;2169.55419921875,-5596.40673828125;5;63
444;1972.3218994140625,-5325.86865234375;6;63
445;1990.96337890625,-5154.609375;7;63
446;2088.103271484375,-4989.1220703125;8;63
447;2382.373779296875,-4807.05712890625;9;63
448;2437.68359375,-4664.24267578125;10;63
449;2411.03076171875,-4526.04541015625;11;63
450;2305.87841796875,-4376.3037109375;12;63
451;2175.02490234375,-4145.5927734375;13;63
452;2171.15478515625,-3895.256591796875;14;63
453;2243.47509765625,-3607.97998046875;15;63
454;2337.663818359375,-3418.1796875;16;63
455;2553.536865234375,-3182.681640625;17;63
456;2749.784912109375,-3121.498779296875;18;63
457;2996.82666015625,-3116.881103515625;19;63
458;3001.444580078125,-3006.05859375;20;63
459;2895.239501953125,-2973.7353515625;21;63
460;2701.30029296875,-2946.02978515625;22;63
461;2599.712890625,-2539.680908203125;23;63
462;1694.453857421875,-1578.5859375;24;63
463;472.8039855957031,-991.8851928710938;25;63
464;-799.171875,-1303.9532470703125;26;63
465;-1638.873046875,-2005.20556640625;27;63
466;-1842.81640625,-4472.9384765625;28;63
467;-1369.2755126953125,-7126.06884765625;29;63
468;431.31866455078125,-7574.13525390625;30;63
469;3088.338623046875,-7031.8173828125;31;63
470;3575.219970703125,-3446.291748046875;1;64
471;3429.949462890625,-3383.114013671875;2;64
472;3272.97509765625,-3269.5625;3;64
473;3203.2666015625,-3165.90234375;4;64
474;3005.80615234375,-3123.851806640625;5;64
475;2740.27001953125,-3119.63037109375;6;64
476;2550.36376953125,-3183.228759765625;7;64
477;2337.137451171875,-3416.44140625;8;64
478;2242.032470703125,-3604.947021484375;9;64
479;2171.416259765625,-3893.19873046875;10;64
480;2176.033447265625,-4145.4189453125;11;64
481;2305.86279296875,-4381.73291015625;12;64
482;2413.1640625,-4526.4873046875;13;64
483;2437.744384765625,-4663.89501953125;14;64
484;2379.348388671875,-4809.5810546875;15;64
485;2083.84619140625,-4988.8515625;16;64
486;1974.4678955078125,-5327.10498046875;17;64
487;2173.912841796875,-5603.58154296875;18;64
488;2288.348876953125,-5776.9013671875;19;64
489;2428.349609375,-6137.95947265625;20;64
490;2703.609130859375,-6229.14697265625;21;64
491;3082.41650390625,-6050.90478515625;22;64
492;3566.844970703125,-5670.16015625;23;64
493;3677.645751953125,-5378.93505859375;24;64
494;3763.1416015625,-5119.54541015625;25;64
495;3704.885498046875,-5002.728515625;26;64
496;3652.598876953125,-4803.35546875;27;64
497;3549.635009765625,-4686.14306640625;28;64
498;3499.681640625,-4517.90380859375;29;64
499;3522.366455078125,-4376.3984375;30;64
500;3604.988037109375,-4278.455078125;31;64
501;3655.04736328125,-4157.10302734375;32;64
502;3660.481689453125,-3968.689208984375;33;64
503;3644.8798828125,-3708.7509765625;34;64
504;3688.829345703125,-3582.279052734375;35;64
505;10800.8642578125,-292.5193786621094;1;65
506;11083.921875,1602.5390625;2;65
507;9829.3828125,4468.9814453125;3;65
508;8192.45703125,6228.353515625;4;65
